"","Plot","Quad","Type","Num","Species","Confidence","Dead.Stump","SA.Height_cm","SA.BD_cm","SA.Stems","DBH_cm","X_cm","Y_cm","Notes","iNum","Point","dbh","Basal.Area","Dead","Live","Topkill","gCrown","Survival","Epicormic","Apical","NPoints","bSprout","Year"
"330","PPW1311","A3","TR",1258.1,"ARCMAN",0,NA,NA,NA,NA,10.9,496,350,NA,1258,0.099999999999909,10.9,93.3131557932508,NA,1,NA,1,NA,NA,NA,1,NA,2013
"331","PPW1311","A3","TR",1258.2,"ARCMAN",0,NA,NA,NA,NA,7.05,496,350,NA,1258,0.200000000000045,7.05,39.0362522162617,NA,1,NA,1,NA,NA,NA,1,NA,2013
"332","PPW1311","A3","TR",1258.3,"ARCMAN",0,NA,NA,NA,NA,10,496,350,NA,1258,0.299999999999955,10,78.5398163397448,NA,1,NA,1,NA,NA,NA,1,NA,2013
"333","PPW1311","A3","TR",1258.4,"ARCMAN",0,NA,NA,NA,NA,14,496,350,NA,1258,0.400000000000091,14,153.9380400259,NA,1,NA,1,NA,NA,NA,1,NA,2013
"334","PPW1311","A3","TR",1258.5,"ARCMAN",0,NA,NA,NA,NA,11.1,496,350,NA,1258,0.5,11.1,96.7689077121996,NA,1,NA,1,NA,NA,NA,1,NA,2013
"335","PPW1311","A3","TR",1258.6,"ARCMAN",0,NA,NA,NA,NA,8.9,496,350,NA,1258,0.599999999999909,8.9,62.2113885227119,NA,1,NA,1,NA,NA,NA,1,NA,2013
"336","PPW1311","A3","TR",1258.7,"ARCMAN",0,NA,NA,NA,NA,10,496,350,NA,1258,0.700000000000045,10,78.5398163397448,NA,1,NA,1,NA,NA,NA,1,NA,2013
"338","PPW1311","A4","TR",1259.1,"QUEDOU",0,NA,NA,NA,NA,27,255,39,NA,1259,0.099999999999909,27,572.55526111674,NA,1,NA,1,NA,NA,NA,1,NA,2013
"339","PPW1311","A4","TR",1259.2,"QUEDOU",0,NA,NA,NA,NA,35.5,255,39,NA,1259,0.200000000000045,35.5,989.798035421634,NA,1,NA,1,NA,NA,NA,1,NA,2013
"341","PPW1311","A4","TR",1260.1,"ARCMAN",0,NA,NA,NA,NA,6.15,320,120,"measured live tagged branch",1260,0.099999999999909,6.15,29.7057220351,NA,1,NA,1,NA,NA,NA,1,NA,2013
"345","PPW1311","B1","TR",1262.1,"HETARB",1,NA,NA,NA,NA,9.3,138,185,NA,1262,0.099999999999909,9.3,67.9290871522453,NA,1,NA,1,NA,NA,NA,1,NA,2013
"346","PPW1311","B1","TR",1262.2,"HETARB",1,NA,NA,NA,NA,5.8,138,185,NA,1262,0.200000000000045,5.8,26.4207942166902,NA,1,NA,1,NA,NA,NA,1,NA,2013
"347","PPW1311","B1","TS",1262.3,"HETARB",1,NA,97,1.41,3,NA,138,185,NA,1262,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"348","PPW1311","B1","TS",1262.4,"HETARB",1,NA,83,0.89,1,NA,138,185,NA,1262,0.400000000000091,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"349","PPW1311","B1","TS",1262.5,"HETARB",1,NA,102,2.51,4,NA,138,185,NA,1262,0.5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"350","PPW1311","B1","TS",1262.6,"HETARB",1,NA,51,0.514,1,NA,138,185,NA,1262,0.599999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"351","PPW1311","B1","TS",1262.7,"HETARB",1,NA,76,0.67,1,NA,138,185,NA,1262,0.700000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"352","PPW1311","B1","TS",1262.8,"HETARB",1,NA,57,0.57,1,NA,138,185,NA,1262,0.799999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"354","PPW1311","C1","TR",1264.1,"QUEDOU",0,NA,NA,NA,NA,24.4,480,470,"was quedec in aug-sp",1264,0.099999999999909,24.4,467.594650560305,NA,1,NA,1,NA,NA,NA,1,NA,2013
"356","PPW1311","C2","TR",1265.1,"QUEDOU",0,NA,NA,NA,NA,18.8,166,423,"was quedec in aug-sp",1265,0.099999999999909,18.8,277.591126871194,NA,1,NA,1,NA,NA,NA,1,NA,2013
"358","PPW1311","C2","TR",1266.1,"QUEGAR",0,NA,NA,NA,NA,16.5,393,423,"was quedec in aug-sp- then quegar, but changed to quedou to match future years- mkqc2022- FIELD CHECKED IN 2023- MK SAYA QUEGAR",1266,0.099999999999909,16.5,213.824649984955,NA,1,NA,1,NA,NA,NA,1,NA,2013
"361","PPW1311","C4","TR",1268.1,"QUEDOU",0,NA,NA,NA,NA,28.2,190,239,"was quedec in aug-sp",1268,0.099999999999909,28.2,624.580035460187,NA,1,NA,1,NA,NA,NA,1,NA,2013
"362","PPW1311","C4","TR",1268.2,"QUEDOU",0,NA,NA,NA,NA,22.6,190,239,NA,1268,0.200000000000045,22.6,401.149965936881,NA,1,NA,1,NA,NA,NA,1,NA,2013
"364","PPW1311","C4","TR",1269.1,"ARCMAN",1,NA,NA,NA,NA,15.3,323,251,NA,1269,0.099999999999909,15.3,183.853856069709,NA,1,NA,1,NA,NA,NA,1,NA,2013
"365","PPW1311","C4","TR",1269.2,"ARCMAN",1,NA,NA,NA,NA,11.3,323,251,NA,1269,0.200000000000045,11.3,100.28749148422,NA,1,NA,1,NA,NA,NA,1,NA,2013
"368","PPW1311","D2","TR",1271.1,"QUEDOU",0,NA,NA,NA,NA,14,126,67,NA,1271,0.099999999999909,14,153.9380400259,NA,1,NA,1,NA,NA,NA,1,NA,2013
"394","PPW1312","A1","TR",1273.1,"QUEAGR",1,NA,NA,NA,NA,25.5,87,492,NA,1273,0.099999999999909,25.5,510.705155749191,NA,1,NA,1,NA,NA,NA,1,NA,2013
"418","PPW1312","A2","TS",1330.1,"ARBMEN",1,NA,166,2.44,2,NA,164,410,"SPLIT ABOVE 10CM TO 2 STEMS, height measured at tallest branch",1330,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"426","PPW1312","A2","TR",1299.1,"QUEAGR",1,NA,NA,NA,NA,15.9,65,410,"INPUTED MISSED .1 AFTER AUG2013 RESURVEY 20130810 MFO",1299,0.099999999999909,15.9,198.556509688509,NA,1,NA,1,NA,NA,NA,1,NA,2013
"473","PPW1312","A4","TR",1385.1,"QUEAGR",1,NA,NA,NA,NA,67,198,196,NA,1385,0.099999999999909,67,3525.65235549115,NA,1,NA,1,NA,NA,NA,1,NA,2013
"606","PPW1312","C1","TS",1480.1,"HETARB",1,NA,181,0.88,1,NA,147,70,NA,1480,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"607","PPW1312","C1","TS",1480.2,"HETARB",1,NA,235,1.56,1,NA,147,70,NA,1480,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"608","PPW1312","C1","TS",1480.3,"HETARB",1,NA,124,1.22,1,NA,147,70,NA,1480,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"636","PPW1312","C2","SA",1528.1,"HETARB",1,NA,230,1.72,2,NA,317,137,"GREATER THAN 230",1528,0.099999999999909,1.72,2.32352192659501,NA,1,NA,1,NA,NA,NA,2,NA,2013
"646","PPW1312","C3","TS",1538.1,"QUEAGR",1,NA,145,0.98,1,NA,115,215,NA,1538,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"648","PPW1312","C3","TR",1545.1,"HETARB",1,NA,NA,NA,NA,1.66,339,486,NA,1545,0.099999999999909,1.66,2.16424317905801,NA,1,NA,1,NA,NA,NA,1,NA,2013
"650","PPW1312","C3","TR",1545.2,"HETARB",1,NA,NA,NA,NA,1.06,339,486,NA,1545,0.200000000000045,1.06,0.882473376393373,NA,1,NA,1,NA,NA,NA,1,NA,2013
"655","PPW1312","C4","TR",1546.1,"QUEAGR",1,NA,NA,NA,NA,18.5,190,340,NA,1546,0.099999999999909,18.5,268.802521422777,NA,1,NA,1,NA,NA,NA,1,NA,2013
"656","PPW1312","C4","TR",1546.2,"QUEAGR",1,NA,NA,NA,NA,18,190,340,NA,1546,0.200000000000045,18,254.469004940773,NA,1,NA,1,NA,NA,NA,1,NA,2013
"657","PPW1312","C4","TR",1546.3,"QUEAGR",1,NA,NA,NA,NA,21.3,190,340,NA,1546,0.299999999999955,21.3,356.327292751788,NA,1,NA,1,NA,NA,NA,1,NA,2013
"660","PPW1312","C4","TS",1543.1,"HETARB",1,NA,184,1.33,1,NA,357,35,NA,1543,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"669","PPW1312","D4","TR",1556.1,"ARBMEN",1,NA,NA,NA,NA,46.8,244,375,NA,1556,0.099999999999909,46.8,1720.21047339963,NA,1,NA,1,NA,NA,NA,1,NA,2013
"673","PPW1312","D2","TR",1564.1,"ARBMEN",1,NA,NA,NA,NA,4.4,129,297,NA,1564,0.099999999999909,4.4,15.2053084433746,NA,1,NA,1,NA,NA,NA,1,NA,2013
"691","PPW1312","D1","TS",1576.1,"HETARB",1,NA,199,1.73,1,NA,307,206,NA,1576,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"692","PPW1312","D1","TS",1576.2,"HETARB",1,NA,131,1.01,1,NA,307,206,NA,1576,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"693","PPW1312","D1","TS",1576.3,"HETARB",1,NA,258,1.4,1,NA,307,206,NA,1576,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"696","PPW1312","D1","TR",1593.1,"ARBMEN",1,NA,NA,NA,NA,53.24,422,215,NA,1593,0.099999999999909,53.24,2226.20920919448,NA,1,NA,1,NA,NA,NA,1,NA,2013
"728","PPW1313","A1","TS",1719.1,"ARBMEN",1,NA,176,2.03,1,NA,300,198,NA,1719,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"733","PPW1313","A1","TR",1723.1,"HETARB",1,NA,NA,NA,NA,2.66,253,412,NA,1723,0.099999999999909,2.66,5.55716324493499,NA,1,NA,1,NA,NA,NA,1,NA,2013
"734","PPW1313","A1","TR",1723.2,"HETARB",1,NA,NA,NA,NA,3.43,253,412,NA,1723,0.200000000000045,3.43,9.24013085255464,NA,1,NA,1,NA,NA,NA,1,NA,2013
"738","PPW1313","A2","TR",1726.1,"HETARB",1,NA,NA,NA,NA,1.22,145,124,NA,1726,0.099999999999909,1.22,1.16898662640076,NA,1,NA,1,NA,NA,NA,1,NA,2013
"740","PPW1313","A2","SA",1727.1,"HETARB",1,NA,85,1.01,2,NA,31,225,NA,1727,0.099999999999909,1.01,0.801184666481737,NA,1,NA,1,NA,NA,NA,2,NA,2013
