"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp"
"188",1146,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"189",1147,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"190",1148,"PPW1307","PPW1307",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"191",1149,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"192",1150,"PPW1307","PPW1307",NA,NA,"BACPIL","BACPIL",NA,NA,1,1
"193",1151,"PPW1307","PPW1307",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"194",1152,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"195",1153,"PPW1307","PPW1307",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"196",1154,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"197",1155,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"198",1156,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"199",1157,"PPW1307","PPW1307","PPW1307",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"200",1158,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"201",1159,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"202",1159.1,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"203",1160,"PPW1307","PPW1307","PPW1307","PPW1307","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"204",1161,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
