"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"2465",3487,"PPW1330","PPW1330","PPW1330",NA,"UMBCAL","UMBCAL","HETARB",NA,1,2,0,0
"2477",3501,"PPW1326","PPW1326","PPW1326","PPW1326","UMBCAL","UMBCAL","UMBCAL","PSEMEN",1,2,0,0
"2559",3584,"PPW1326","PPW1326",NA,NA,"PSEMEN","UMBCAL",NA,NA,1,2,0,0
"2688",3713,"PPW1330","PPW1330","PPW1330",NA,"UMBCAL","UMBCAL","FRACAL",NA,1,2,0,0
"2719",3744,"PPW1330",NA,"PPW1330",NA,"FRACAL",NA,"UMBCAL",NA,1,2,1,0
"2753",3778,"PPW1330","PPW1330","PPW1330",NA,"AMOCAL","AMOCAL","UMBCAL",NA,1,2,0,0
"2772",3797,"PPW1330","PPW1330",NA,NA,"PSEMEN","UMBCAL",NA,NA,1,2,0,0
"2785",3810,"PPW1330","PPW1330","PPW1330",NA,"UMBCAL","FRACAL","FRACAL",NA,1,2,0,0
"2796",3821,"PPW1330","PPW1330","PPW1330",NA,"PSEMEN","UMBCAL","UMBCAL",NA,1,2,0,0
"2853",3878,"PPW1330","PPW1330","PPW1330",NA,"FRACAL","FRACAL","PSEMEN",NA,1,2,0,0
"2927",3952,"PPW1325","PPW1325","PPW1325",NA,"QUEGAR","QUEDOU","QUEDOU",NA,1,2,0,0
"2972",3997,"PPW1330","PPW1330","PPW1330",NA,"QUEGAR","QUEGAR","QUEAGR",NA,1,2,0,0
"2985",4010,"PPW1325","PPW1325","PPW1325",NA,"QUEGAR","QUEDOU","QUEDOU",NA,1,2,0,0
"3015",4040,"PPW1303","PPW1303","PPW1303","PPW1303","QUEDOU","QUEAGR","QUEDOU","QUEDOU",1,2,0,0
"3017",4042,"PPW1303","PPW1303","PPW1303","PPW1303","QUEAGR","QUEDOU","QUEDOU","QUEDOU",1,2,0,0
"3099",4125,"PPW1330","PPW1330","PPW1330",NA,"QUEGAR","QUEGAR","QUEAGR",NA,1,2,0,0
"3117",4144,"PPW1330","PPW1330","PPW1330",NA,"QUEAGR","QUEAGR","QUEGAR",NA,1,2,0,0
"3118",4145,"PPW1330","PPW1330","PPW1330",NA,"ARCMAN","ARCMAN","ARBMEN",NA,1,2,0,0
"3236",4263,"PPW1350","PPW1350","PPW1350","PPW1350","AMOCAL","FRACAL","AMOCAL","AMOCAL",1,2,0,0
"3306",4333,"PPW1350","PPW1350","PPW1350","PPW1350","HETARB","AMOCAL","HETARB","HETARB",1,2,0,0
"3388",4418,"PPW1327","PPW1327","PPW1327","PPW1327","QUEBER","QUEBER","QUEBER","QUEBEGA",1,2,0,0
"3390",4420,"PPW1327","PPW1327","PPW1327","PPW1327","QUEBER","QUEBER","QUEBER","QUEBEGA",1,2,0,0
"3475",4505,"PPW1318","PPW1318","PPW1318","PPW1318","QUEGAR","QUEAGR","QUEAGR","QUEAGR",1,2,0,0
"3477",4507,"PPW1318","PPW1318","PPW1318","PPW1318","QUEGAR","QUEAGR","QUEAGR","QUEAGR",1,2,0,0
