"","X","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"209",209,"PPW1524","B4",523791,4272029,-237194.977663056,67893.1562694465,-122.726796373429,38.5964306952653,99,60,1,18,0,1,3.85212564468384,78.915153503418,82,86,2,2
"210",210,"PPW1524","B5",523790.999999999,4272049,-237194.342107857,67913.1811082894,-122.726795690249,38.5966109328362,100,54,1,5,-11,1,4.67631864547729,66.623291015625,83,87,2,2
"211",211,"PPW1524","C1",523811,4271969,-237176.913556856,67832.4475835888,-122.726568757351,38.5958894461629,103,62,1,77,49,1,3.85212564468384,81.0625076293945,88,68,2,2
"212",212,"PPW1524","C2",523811,4271989,-237176.27800084,67852.4724264778,-122.726568073615,38.596069683747,80,44,1,69,43,1,3.85212564468384,79.6368103027344,94,90,2,2
"213",213,"PPW1524","C3",523811,4272009,-237175.642444622,67872.4972679336,-122.726567389873,38.5962499213256,99,60,1,69,43,1,3.85212564468384,78.915153503418,94,93,2,2
"214",214,"PPW1524","C4",523811,4272029,-237175.0068882,67892.5221079467,-122.726566706125,38.5964301588985,84,41,1,18,0,1,3.85212564468384,130.374786376953,57,88,2,2
"215",215,"PPW1524","C5",523810.999999999,4272049,-237174.37133158,67912.5469465163,-122.726566022371,38.596610396466,71,26,1,-106,-90,1,3.85212564468384,109.425155639648,64,70,2,2
"216",216,"PPW1524","D1",523831,4271969,-237156.942786561,67831.8134212247,-122.726339091776,38.5958889093557,129,74,2,12,-5,1,4.67631864547729,19.4691848754883,87,88,2,2
"217",217,"PPW1524","D2",523831,4271989,-237156.307229121,67851.8382638446,-122.726338407466,38.5960691469364,139,82,2,-10,-23,1,3.85212564468384,107.209671020508,79,93,2,2
"218",218,"PPW1524","D3",523831,4272009,-237155.671671481,67871.8631050205,-122.72633772315,38.5962493845115,139,82,2,-10,-23,1,3.85212564468384,107.209671020508,78,98,2,2
"219",219,"PPW1524","D4",523831,4272029,-237155.036113639,67891.8879447598,-122.726337038827,38.5964296220811,84,41,1,-76,-72,1,3.85212564468384,130.374786376953,67,87,2,2
"220",220,"PPW1524","D5",523830.999999999,4272049,-237154.400555595,67911.912783049,-122.726336354499,38.596609859645,71,26,1,-76,-72,1,3.85212564468384,109.425155639648,76,82,1,2
"221",221,"PPW1524","E1",523851,4271969,-237136.972016558,67831.1792571768,-122.726109426207,38.5958883720979,129,74,2,12,-5,1,4.67631864547729,19.4691848754883,73,68,2,2
"222",222,"PPW1524","E2",523851,4271989,-237136.336457698,67851.2040995252,-122.726108741323,38.5960686096751,129,74,2,12,-5,1,3.85212564468384,19.4691848754883,48,63,1,2
"223",223,"PPW1524","E3",523851,4272009,-237135.700898635,67871.2289404203,-122.726108056432,38.5962488472468,-124,-76,1,-301,-214,5,NA,160.890106201172,33,60,2,2
"224",224,"PPW1524","E4",523851,4272029,-237135.06533937,67891.2537798807,-122.726107371536,38.5964290848129,-57,-48,1,-330,-220,5,NA,183.894943237305,57,59,1,2
"225",225,"PPW1524","E5",523850.999999999,4272049,-237134.429779904,67911.2786178952,-122.726106686633,38.5966093223734,-57,-48,1,-330,-220,5,NA,183.894943237305,79,64,1,2
"226",226,"PPW1525","A1",526435,4270776,-234594.672688632,66554.7488543824,-122.696481954972,38.5850640141327,118,56,1,7,-9,0,52.5445442199707,205.599075317383,80,59,1,2
"227",227,"PPW1525","A2",526435,4270796,-234594.036959749,66574.7737449193,-122.696481196296,38.5852442515734,71,33,1,22,3,0,11.3327445983887,131.681945800781,60,39,1,1
"228",228,"PPW1525","A3",526435,4270816,-234593.401230634,66594.7986340257,-122.696480437613,38.5854244890085,110,60,1,22,3,0,11.3327445983887,185.92350769043,48,28,1,1
"229",229,"PPW1525","A4",526435,4270836,-234592.765501291,66614.8235217119,-122.696479678923,38.5856047264381,110,60,1,42,20,0,11.3327445983887,185.92350769043,47,42,1,1
"230",230,"PPW1525","A5",526435,4270856,-234592.129771718,66634.84840796,-122.696478920227,38.5857849638621,106,52,1,9,-8,0,11.3327445983887,214.726104736328,53,66,1,2
"231",231,"PPW1525","B1",526455,4270776,-234574.702042732,66554.1144886464,-122.69625232449,38.5850634184237,222,126,2,7,-9,0,52.5445442199707,213.015686035156,71,57,1,2
