"","Plot","UTM.E","UTM.N","Slope","Aspect","Super.Plot","AEA.x","AEA.y","cwd","marrad","model3","plp100","plp500","topoid","tpi100","tpi500","tpi1000","dem","slope"
"32","PPW1332",524968,4271278,24,331,1,-236037.5043,67109.19226,824.246704101562,560.099975585938,2.67303395271301,36.5930595397949,30.4142761230469,7.53576517105103,-10.2488403320312,-23.5820598602295,-27.2947406768799,292.157104492188,10.3415803909302
"33","PPW1333",525153,4271310,26,147,0,-235845.8101,67136.09397,1035.98669433594,785.900024414062,5.63860607147217,58.6750793457031,55.283618927002,4.15907287597656,7.91586303710938,11.5657300949097,7.02752685546875,336.341186523438,20.6590099334717
"34","PPW1334",524885,4271274,29,334,0,-236114.5921,67108.25067,633.27001953125,432.899993896484,4.00544595718384,47.9495277404785,52.6832389831543,5.96396493911743,-2.76504492759705,-3.53524804115295,-6.57534790039062,306.987487792969,26.0531997680664
"35","PPW1335",525087,4271051,16,331,1,-235911.8871,66874.10875,697.61669921875,461.899993896484,4.91267395019531,52.9968452453613,66.0548095703125,5.41965007781982,0.683044373989105,10.4823904037476,19.2923908233643,356.894287109375,22.0942497253418
"36","PPW1336",525463,4271059,24,238,0,-235544.6652,66875.93422,983.236694335938,709.099975585938,5.41344118118286,59.9369087219238,41.4659004211426,4.63447618484497,4.96115112304688,1.50030505657196,16.442440032959,369.003601074219,21.6527690887451
"37","PPW1337",526102,4271193,6.5,90,0,-234901.6257,66989.70935,907.260009765625,672.299987792969,2.92428493499756,34.3848571777344,42.3964309692383,8.38493061065674,-5.88668823242188,-6.80340576171875,4.89987182617188,332.226806640625,15.4690999984741
"38","PPW1338",524949,4269709,13,219,1,-236102.4431,65533.42476,1054.52673339844,703.799987792969,4.75075483322144,52.9968452453613,23.1357555389404,6.3461709022522,-1.52358996868134,-27.791690826416,-34.4831809997559,295.921997070312,15.1869897842407
"39","PPW1339",524901,4269863,28,246,1,-236142.1481,65697.34694,1047.20324707031,704.599975585938,3.93870711326599,48.2649841308594,29.9553852081299,6.33595180511475,-3.23678588867188,-19.5319194793701,-29.7888793945312,307.722900390625,24.1183605194092
"40","PPW1340",527205,4269284,9.5,205,1,-233861.8156,65047.30404,1030.74670410156,768.299987792969,4.34105920791626,28.0757102966309,39.8725318908691,5.90882396697998,-6.70242309570312,-8.53411865234375,30.6893901824951,368.978698730469,21.3734493255615
"41","PPW1341",527127,4269502,14,205,0,-233931.9879,65263.93874,990.8466796875,709.200012207031,5.07857704162598,55.5205039978027,74.276611328125,5.47816610336304,-0.785980224609375,20.5460205078125,70.0841369628906,411.393188476562,18.632360458374
"42","PPW1342",527278,4269582,7,65,0,-233778.5732,65339.40535,849.219970703125,608,5.54285287857056,90.5362777709961,99.6175918579102,4.44513177871704,9.73574829101562,76.4313735961914,127.03279876709,456.192810058594,16.474739074707
"43","PPW1343",522956,4273410,26.5,352,0,-237972.8118,69308.2135,757.393310546875,453.600006103516,4.59664297103882,51.7350158691406,60.3824081420898,5.37315893173218,4.60122680664062,7.73727416992188,4.04983520507812,141.720504760742,22.850830078125
"44","PPW1344",522872,4272878,24,210,1,-238078.7547,68781.06185,1090.20666503906,746.200012207031,4.87617683410645,49.8422698974609,33.5372848510742,4.84093999862671,1.88268995285034,-9.90487670898438,-7.12002611160278,140.306503295898,26.3721809387207
"45","PPW1345",523405,4272225,24,78,0,-237562.6522,68108.74298,809.289978027344,539.5,4.1171407699585,51.7350158691406,16.2141494750977,5.05422782897949,-1.05644202232361,-33.685489654541,-33.2927589416504,155.327194213867,21.9249591827393
"46","PPW1346",524575,4270822,24,316,0,-236438.507,66666.0922,824.356689453125,500.399993896484,3.2996940612793,34.3848571777344,27.3550033569336,5.97236204147339,-8.7794189453125,-38.1357116699219,-43.3448486328125,263.909606933594,19.8617191314697
"47","PPW1347",523087,4268719,25,5,0,-237991.0891,64607.43484,702.296691894531,435.399993896484,3.17877507209778,39.4321784973145,22.0267677307129,5.40333700180054,-10.4690103530884,-28.980619430542,-20.3047008514404,201.144500732422,24.8893508911133
"48","PPW1348",523389,4269026,24,327,0,-237679.751,64905.30081,831.726684570312,507.799987792969,2.9302990436554,48.8959007263184,39.8597831726074,6.67690896987915,-3.86587500572205,-13.6187295913696,3.8050229549408,231.981796264648,19.6985397338867
"49","PPW1349",526499,4270456,11,53,1,-234528.1161,66227.15718,907.25,627.299987792969,5.13976287841797,97.7918014526367,78.4576187133789,5.4943790435791,5.95764207839966,24.7904396057129,36.7751808166504,393.172302246094,5.40283107757568
"50","PPW1350",523424,4269090,26.5,318,0,-237642.9177,64968.26252,845.940002441406,521.700012207031,4.2862868309021,48.8959007263184,39.8087959289551,5.92951202392578,-3.98335289955139,-12.0707902908325,8.80897521972656,238.02490234375,22.2992305755615
"51","PPW1851",527198,4269561,45,214,0,-233861.0224,65320.06976,979.163330078125,718.799987792969,5.80960607528687,66.2460556030273,98.4193725585938,3.78798389434814,15.7420701980591,66.5782165527344,117.691299438477,453.819000244141,27.8099708557129
"52","PPW1852",527365,4269686,22,24,1,-233688.7195,65440.40025,851.150024414062,609.799987792969,5.45165395736694,61.1987380981445,94.4168243408203,4.9169192314148,6.94845581054688,62.4750099182129,110.506202697754,429.28369140625,16.0382995605469
"53","PPW1853",527387,4269624,30,80,0,-233669.6107,65378.34402,853.469970703125,636,4.8799319267273,44.7949523925781,92.4792861938477,5.8842568397522,1.25494396686554,56.5623512268066,104.003799438477,423.77099609375,20.3937606811523
"54","PPW1854",527310,4269508,35,130,0,-233749.8413,65263.29685,990.030029296875,777.700012207031,4.73498010635376,47.9495277404785,94.9776916503906,5.14510107040405,0.214752197265625,56.4616394042969,105.277801513672,435.335205078125,25.1746807098389
